Year,Date,Subregion,Habitat,SiteID,Site_name,StationID,sciName,Count,BLH,PBL,PAL,BBD,WBD,WPX,WPL,DSD,SCT,RTL,RBD,YBD,UNK
2011,5/14/2011,LK,BCP,18,Content Keys,181,Cladocora arbuscula,18,0,0,3,0,0,0,0,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,181,Siderastrea siderea,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,182,Cladocora arbuscula,7,0,1,1,0,0,0,1,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,182,Siderastrea siderea,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,182,Stephanocoenia intersepta,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,183,Cladocora arbuscula,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,183,Siderastrea siderea,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,184,Cladocora arbuscula,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,184,Siderastrea radians,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5/14/2011,LK,BCP,18,Content Keys,184,Siderastrea siderea,6,0,0,2,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,211,Colpophyllia natans,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,211,Siderastrea siderea,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,211,Solenastrea bournoni,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,211,Stephanocoenia intersepta,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,211,Undaria agaricites complex,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,212,Dichocoenia stokesii,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,212,Diploria labyrinthiformis,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,212,Montastraea cavernosa,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,212,Siderastrea siderea,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,212,Solenastrea bournoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,212,Stephanocoenia intersepta,3,0,0,0,0,0,0,0,2,0,0,0,0,0
2011,6/6/2011,UK,P,21,Two Patches,212,Undaria agaricites complex,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Colpophyllia natans,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Dichocoenia stokesii,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Diploria labyrinthiformis,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Eusmilia fastigiata,4,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Montastraea cavernosa,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Oculina robusta,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Orbicella annularis complex,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Porites astreoides,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Porites porites,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Siderastrea siderea,45,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Solenastrea bournoni,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Stephanocoenia intersepta,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,221,Undaria agaricites complex,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Colpophyllia natans,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Diploria labyrinthiformis,3,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Eusmilia fastigiata,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Montastraea cavernosa,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Orbicella annularis complex,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Pseudodiploria strigosa,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Siderastrea siderea,37,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Stephanocoenia intersepta,4,0,0,0,0,0,0,0,2,0,0,0,0,0
2011,6/6/2011,UK,P,22,Burr Fish,222,Undaria agaricites complex,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5/18/2011,MK,P,23,Rawa Reef,231,Colpophyllia natans,14,0,0,1,0,0,0,0,0,0,0,0,0,0
